,0
0,2
1,0
2,1
3,0
4,1
5,0
6,2
7,3
8,1
9,2
10,4
11,4
12,4
13,6
14,3
15,12
16,8
17,7
18,11
19,22
20,24
21,27
22,22
23,33
24,30
25,25
26,25
27,26
28,36
29,31
30,20
31,27
32,21
33,17
34,18
35,18
36,13
37,8
38,23
39,12
40,9
41,17
42,4
43,6
44,10
45,5
46,10
47,7
48,4
49,7
50,4
51,4
52,7
53,2
54,3
55,2
56,3
57,5
58,5
59,2
60,1
61,5
62,3
63,0
64,2
65,2
66,5
67,1
68,3
69,1
70,3
71,1
72,1
73,1
74,2
75,0
76,1
77,1
78,0
79,1
80,0
81,3
82,1
83,1
84,0
85,2
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,2
97,0
98,2
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,2
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
