Model 1 (k=32),Model 2 (k=187),Model 3 (k=230),Model 4 (k=227),Model 5 (k=479),Model 6 (k=45),Model 7 (k=117),Model 8 (k=287),Model 9 (k=157),Model 10 (k=126)
0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0
0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0
0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0
0.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0
1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0
0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
1.0,2.0,4.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0
1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0
1.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0
3.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
2.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0
4.0,4.0,5.0,1.0,2.0,1.0,5.0,4.0,1.0,4.0
7.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,7.0
3.0,2.0,0.0,4.0,3.0,5.0,6.0,2.0,4.0,3.0
4.0,4.0,5.0,4.0,7.0,7.0,2.0,7.0,2.0,1.0
5.0,7.0,6.0,6.0,6.0,5.0,9.0,1.0,4.0,5.0
10.0,6.0,11.0,7.0,4.0,6.0,8.0,6.0,6.0,7.0
9.0,5.0,4.0,8.0,7.0,6.0,9.0,5.0,6.0,6.0
5.0,6.0,12.0,8.0,8.0,4.0,8.0,9.0,7.0,16.0
7.0,6.0,5.0,9.0,9.0,11.0,12.0,13.0,9.0,15.0
14.0,10.0,11.0,12.0,15.0,7.0,17.0,9.0,7.0,13.0
13.0,11.0,10.0,12.0,11.0,12.0,23.0,20.0,19.0,11.0
7.0,16.0,16.0,20.0,18.0,15.0,20.0,11.0,18.0,12.0
16.0,18.0,17.0,16.0,23.0,14.0,23.0,28.0,20.0,22.0
12.0,39.0,25.0,31.0,28.0,16.0,23.0,31.0,22.0,35.0
16.0,36.0,38.0,48.0,41.0,17.0,30.0,40.0,22.0,25.0
18.0,39.0,35.0,32.0,50.0,20.0,28.0,30.0,34.0,33.0
11.0,45.0,42.0,34.0,51.0,23.0,31.0,46.0,39.0,33.0
21.0,51.0,56.0,46.0,56.0,29.0,46.0,50.0,44.0,46.0
22.0,58.0,47.0,56.0,51.0,25.0,45.0,67.0,47.0,59.0
23.0,57.0,65.0,64.0,84.0,24.0,55.0,64.0,67.0,68.0
18.0,67.0,75.0,87.0,93.0,27.0,55.0,81.0,69.0,59.0
23.0,84.0,81.0,80.0,118.0,41.0,60.0,83.0,84.0,56.0
23.0,101.0,110.0,92.0,124.0,26.0,54.0,104.0,75.0,64.0
30.0,97.0,120.0,92.0,140.0,45.0,57.0,110.0,89.0,89.0
26.0,92.0,122.0,107.0,170.0,32.0,87.0,123.0,105.0,72.0
34.0,101.0,121.0,112.0,172.0,40.0,83.0,128.0,104.0,84.0
22.0,116.0,107.0,113.0,189.0,40.0,87.0,151.0,111.0,88.0
27.0,123.0,142.0,138.0,219.0,43.0,93.0,164.0,101.0,96.0
25.0,124.0,137.0,145.0,221.0,46.0,90.0,162.0,89.0,98.0
30.0,134.0,129.0,141.0,224.0,60.0,93.0,175.0,123.0,98.0
32.0,118.0,184.0,165.0,221.0,28.0,83.0,155.0,106.0,95.0
37.0,149.0,172.0,161.0,228.0,41.0,111.0,181.0,124.0,114.0
23.0,116.0,142.0,159.0,251.0,37.0,92.0,150.0,115.0,94.0
30.0,148.0,164.0,161.0,246.0,44.0,111.0,173.0,128.0,114.0
38.0,133.0,168.0,151.0,231.0,43.0,109.0,206.0,131.0,79.0
31.0,145.0,163.0,169.0,257.0,51.0,88.0,187.0,137.0,90.0
16.0,158.0,175.0,174.0,267.0,39.0,87.0,195.0,129.0,103.0
37.0,132.0,173.0,185.0,276.0,41.0,95.0,192.0,118.0,94.0
25.0,139.0,152.0,139.0,295.0,44.0,102.0,198.0,125.0,88.0
32.0,138.0,167.0,166.0,254.0,57.0,102.0,180.0,97.0,112.0
37.0,132.0,139.0,173.0,228.0,45.0,102.0,184.0,130.0,127.0
26.0,157.0,156.0,165.0,261.0,40.0,96.0,172.0,104.0,93.0
37.0,125.0,138.0,157.0,237.0,48.0,74.0,197.0,130.0,105.0
29.0,122.0,143.0,143.0,240.0,42.0,100.0,186.0,133.0,103.0
33.0,128.0,122.0,166.0,243.0,40.0,89.0,190.0,97.0,105.0
31.0,121.0,160.0,159.0,188.0,24.0,70.0,174.0,99.0,93.0
28.0,120.0,128.0,126.0,191.0,35.0,92.0,175.0,115.0,96.0
33.0,134.0,124.0,141.0,188.0,53.0,83.0,155.0,93.0,92.0
29.0,104.0,136.0,129.0,166.0,32.0,78.0,149.0,98.0,89.0
29.0,117.0,118.0,108.0,159.0,40.0,93.0,135.0,87.0,99.0
22.0,103.0,126.0,111.0,160.0,28.0,73.0,120.0,97.0,91.0
26.0,88.0,109.0,109.0,123.0,20.0,82.0,112.0,74.0,68.0
37.0,100.0,81.0,103.0,123.0,33.0,48.0,124.0,92.0,59.0
20.0,79.0,87.0,78.0,104.0,39.0,56.0,98.0,89.0,75.0
32.0,66.0,85.0,79.0,100.0,27.0,66.0,80.0,62.0,36.0
28.0,59.0,58.0,84.0,85.0,38.0,48.0,88.0,70.0,55.0
21.0,66.0,51.0,47.0,71.0,42.0,46.0,50.0,47.0,56.0
22.0,47.0,55.0,58.0,49.0,28.0,46.0,53.0,46.0,46.0
22.0,43.0,43.0,39.0,52.0,25.0,36.0,47.0,39.0,51.0
17.0,37.0,42.0,34.0,44.0,28.0,26.0,40.0,29.0,24.0
14.0,42.0,30.0,26.0,31.0,22.0,22.0,43.0,26.0,19.0
22.0,23.0,20.0,33.0,28.0,18.0,19.0,22.0,22.0,13.0
14.0,23.0,13.0,19.0,25.0,24.0,10.0,27.0,17.0,15.0
11.0,18.0,16.0,16.0,16.0,9.0,23.0,18.0,16.0,19.0
11.0,10.0,17.0,16.0,16.0,11.0,17.0,17.0,12.0,18.0
4.0,10.0,18.0,13.0,13.0,13.0,7.0,13.0,8.0,9.0
12.0,7.0,7.0,12.0,7.0,13.0,6.0,12.0,10.0,12.0
8.0,13.0,10.0,10.0,11.0,6.0,11.0,6.0,6.0,7.0
3.0,8.0,6.0,7.0,4.0,11.0,8.0,10.0,5.0,14.0
5.0,6.0,11.0,7.0,5.0,6.0,8.0,7.0,9.0,6.0
4.0,7.0,2.0,11.0,4.0,2.0,7.0,3.0,7.0,2.0
3.0,3.0,7.0,4.0,7.0,2.0,7.0,4.0,3.0,3.0
6.0,5.0,1.0,4.0,2.0,7.0,10.0,3.0,7.0,4.0
3.0,4.0,2.0,1.0,5.0,3.0,4.0,4.0,5.0,0.0
0.0,3.0,6.0,4.0,5.0,3.0,1.0,7.0,1.0,4.0
3.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,3.0
3.0,2.0,3.0,5.0,3.0,2.0,5.0,6.0,4.0,2.0
1.0,0.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0
1.0,1.0,2.0,0.0,4.0,3.0,1.0,2.0,4.0,0.0
0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
2.0,2.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,3.0
3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0
0.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,1.0
4.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,3.0
0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
